Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%
Tobias Harris,16.4,30.0,0.459,3.0,6.3,0.8,0.6,0.4
Tomá Satoransk?,3.8,30.0,0.282,3.5,2.4,0.5,0.1,0.2
Tony Bradley,3.0,24.0,0.302,0.5,3.4,0.2,0.6,0.0
Tony Snell,3.0,30.0,0.223,0.5,1.9,0.2,0.2,0.3
Torrey Craig,6.6,31.6,0.316,1.2,4.3,0.6,0.5,0.4
Toumani Camara,7.5,23.0,0.327,1.2,4.9,0.9,0.5,0.3
Trae Young,26.8,24.0,0.766,10.2,3.2,1.1,0.1,0.4
Trayce Jackson-Davis,7.9,23.0,0.388,1.2,5.0,0.4,1.1,0.0
Tre Jones,9.6,23.0,0.408,5.4,3.2,1.0,0.1,0.3
Tre Mann,9.8,21.2,0.448,3.1,3.3,1.1,0.2,0.4
Trendon Watford,7.3,22.0,0.411,1.7,3.7,0.5,0.4,0.3
Trent Forrest,2.6,24.0,0.284,2.0,1.5,0.4,0.1,0.1
Trevor Ariza,4.0,36.0,0.257,1.1,3.4,0.5,0.3,0.3
Trey Burke,5.1,29.0,0.564,1.4,0.8,0.3,0.0,0.3
Trey Jemison,7.1,24.0,0.311,1.2,5.6,0.5,1.2,0.0
Trey Lyles,9.3,26.6,0.437,1.1,4.8,0.4,0.4,0.3
Trey Murphy III,11.6,22.0,0.401,1.4,3.6,0.8,0.4,0.4
Tristan Thompson,5.3,30.5,0.376,0.7,4.7,0.4,0.4,0.3
Troy Brown Jr.,4.8,23.4,0.306,1.1,3.0,0.5,0.1,0.3
Ty Jerome,7.0,24.5,0.422,2.6,1.6,0.6,0.1,0.3
TyTy Washington Jr.,4.7,21.0,0.426,1.5,1.5,0.5,0.1,0.2
Tyler Cook,3.4,24.0,0.3,0.2,2.7,0.2,0.2,0.0
Tyler Herro,20.5,23.0,0.614,4.2,5.2,0.7,0.1,0.4
Tyrese Haliburton,17.6,21.6,0.498,9.3,4.0,1.6,0.6,0.4
Tyrese Maxey,21.2,22.0,0.549,4.7,3.3,0.8,0.3,0.4
Tyus Jones,10.3,26.0,0.405,5.6,2.5,1.0,0.1,0.4
Udoka Azubuike,3.5,23.0,0.276,0.3,3.3,0.2,0.4,0.0
Usman Garuba,2.5,19.5,0.235,0.8,3.8,0.5,0.4,0.3
Vasilije Mici?,7.0,30.0,0.432,4.4,1.5,0.5,0.1,0.3
