Player,PTS,Age,Usage Rate,AST,TRB,STL,BLK,3P%,Cluster_Label
Jamal Murray,20.6,25.5,0.621,6.4,4.0,1.0,0.4,0.4,Role Player
James Bouknight,5.1,21.5,0.503,1.0,1.9,0.3,0.0,0.3,Role Player
James Harden,20.6,32.6,0.576,10.0,6.8,1.2,0.6,0.4,Role Player
James Johnson,5.5,34.0,0.323,2.1,3.5,0.5,0.5,0.3,Role Player
James Wiseman,9.2,21.2,0.472,0.8,5.7,0.2,0.6,0.2,Role Player
Jarace Walker,3.6,20.0,0.382,1.2,1.9,0.5,0.3,0.4,Bench Player
Jared Butler,5.0,22.0,0.488,2.4,1.3,0.6,0.2,0.3,Role Player
Jaren Jackson Jr.,19.1,23.0,0.641,1.5,6.0,1.0,2.3,0.3,Defensive Specialist
Jarred Vanderbilt,7.1,23.0,0.298,1.8,7.1,1.2,0.3,0.3,Role Player
Jarrett Allen,15.6,24.0,0.407,2.0,10.4,0.8,1.2,0.1,Defensive Specialist
Jarrett Culver,3.5,22.0,0.494,0.9,1.3,0.5,0.1,0.3,Bench Player
Javon Freeman-Liberty,7.0,24.0,0.405,1.8,3.2,0.5,0.2,0.2,Role Player
Javonte Green,6.2,28.5,0.282,0.8,3.5,0.9,0.6,0.4,Role Player
Jaxson Hayes,6.2,22.0,0.351,0.6,3.4,0.5,0.5,0.2,Role Player
Jay Huff,1.2,25.0,0.378,0.1,0.6,0.1,0.2,0.3,Bench Player
Jaylen Brown,24.4,26.0,0.693,3.5,6.2,1.1,0.4,0.3,All Star
Jaylen Nowell,9.6,22.5,0.552,2.0,2.3,0.5,0.2,0.3,Role Player
Jaylin Williams,5.0,20.5,0.313,1.6,4.2,0.5,0.3,0.4,Role Player
Jayson Tatum,28.0,24.0,0.724,4.6,8.3,1.0,0.6,0.4,All Star
Jeenathan Williams,2.9,24.0,0.468,0.3,1.0,0.2,0.0,0.4,Bench Player
Jeff Dowtin,2.4,25.0,0.257,1.2,0.9,0.4,0.1,0.3,Bench Player
Jeff Green,8.2,36.0,0.378,1.1,2.7,0.3,0.4,0.3,Role Player
Jerami Grant,20.2,28.0,0.573,2.5,4.0,0.8,0.8,0.4,Role Player
Jeremiah Robinson-Earl,5.7,22.0,0.347,0.8,3.9,0.5,0.2,0.3,Role Player
Jeremy Lamb,7.2,29.0,0.462,1.4,2.6,0.6,0.4,0.3,Role Player
Jeremy Sochan,11.3,19.5,0.463,3.0,5.8,0.8,0.4,0.3,Role Player
Jericho Sims,2.5,24.0,0.159,0.5,4.0,0.3,0.5,0.0,Bench Player
Jerome Robinson,1.4,26.0,0.492,0.2,0.3,0.0,0.1,0.1,Bench Player
Jevon Carter,5.3,26.6,0.342,1.7,1.7,0.5,0.2,0.4,Role Player
Jimmy Butler,21.7,33.0,0.57,5.3,5.7,1.6,0.4,0.3,Defensive Specialist
Jock Landale,5.5,27.0,0.413,1.0,3.3,0.3,0.4,0.3,Role Player
Joe Harris,7.6,31.0,0.324,1.4,2.2,0.5,0.2,0.4,Role Player
Joe Ingles,6.2,35.0,0.293,3.3,2.6,0.6,0.1,0.4,Role Player
Joe Wieskamp,2.1,22.0,0.306,0.3,0.5,0.1,0.1,0.3,Bench Player
Joel Embiid,32.8,28.0,0.854,4.7,11.0,1.1,1.6,0.4,All Star
John Collins,14.8,25.0,0.454,1.4,7.6,0.6,1.0,0.3,Role Player
John Konchar,4.7,26.0,0.238,1.6,4.5,0.9,0.5,0.4,Bench Player
John Wall,11.4,32.0,0.619,5.2,2.7,0.8,0.4,0.3,Role Player
Johnny Davis,4.4,20.5,0.391,0.8,1.8,0.4,0.2,0.3,Bench Player
Johnny Juzang,7.2,22.0,0.35,1.2,1.8,0.2,0.1,0.4,Role Player
Jonas Valanciunas,14.7,30.0,0.529,2.2,10.1,0.4,0.8,0.3,Role Player
Jonathan Isaac,6.8,26.0,0.381,0.5,4.5,0.7,1.2,0.4,Role Player
